
SetupTitle, ZnO IV
DataValue, -3.7600000000000002, -8.6494400000000017E-06, 8.64995E-06, -8.64944E-10, 8.6499499999999987E-10, 8.6494400000000017E-06, -11.658015979000595
DataValue, -3.75, -8.54146E-06, 8.54188E-06, -8.5414599999999985E-10, 8.54188E-10, 8.54146E-06, -11.670578604588469
DataValue, -3.74, -8.4369E-06, 8.43768E-06, -8.4368999999999991E-10, 8.4376800000000006E-10, 8.4369E-06, -11.682895615405252
DataValue, -3.73, -8.33199E-06, 8.33168E-06, -8.33199E-10, 8.3316799999999991E-10, 8.33199E-06, -11.695408234758299
DataValue, -3.72, -8.2274900000000014E-06, 8.22806E-06, -8.22749E-10, 8.22806E-10, 8.2274900000000014E-06, -11.708029571565692
DataValue, -3.71, -8.1253200000000013E-06, 8.12501E-06, -8.12532E-10, 8.1250099999999984E-10, 8.1253200000000013E-06, -11.720525445908642
DataValue, -3.7, -8.0230000000000009E-06, 8.02287E-06, -8.023E-10, 8.022869999999999E-10, 8.0230000000000009E-06, -11.733198141192755
DataValue, -3.69, -7.9240300000000011E-06, 7.923980000000001E-06, -7.924030000000001E-10, 7.9239800000000016E-10, 7.9240300000000011E-06, -11.745610643168453
DataValue, -3.68, -7.82359E-06, 7.8230500000000013E-06, -7.8235899999999986E-10, 7.82305E-10, 7.82359E-06, -11.758367029467822
DataValue, -3.67, -7.72424E-06, 7.7253800000000009E-06, -7.7242399999999994E-10, 7.7253800000000009E-10, 7.72424E-06, -11.771147121897302
DataValue, -3.66, -7.6265500000000007E-06, 7.6269500000000007E-06, -7.62655E-10, 7.62695E-10, 7.6265500000000007E-06, -11.783874977440588
DataValue, -3.65, -7.5296600000000007E-06, 7.52974E-06, -7.52966E-10, 7.52974E-10, 7.5296600000000007E-06, -11.79666066989433
DataValue, -3.64, -7.4358600000000008E-06, 7.436020000000001E-06, -7.4358600000000008E-10, 7.4360199999999991E-10, 7.4358600000000008E-06, -11.809196315608832
DataValue, -3.63, -7.3412300000000005E-06, 7.3403500000000008E-06, -7.34123E-10, 7.34035E-10, 7.3412300000000005E-06, -11.822004154445081
DataValue, -3.62, -7.2469600000000008E-06, 7.2473800000000006E-06, -7.2469600000000006E-10, 7.24738E-10, 7.2469600000000008E-06, -11.834928487377683
DataValue, -3.61, -7.154310000000001E-06, 7.1541300000000011E-06, -7.15431E-10, 7.15413E-10, 7.154310000000001E-06, -11.847795585664816
DataValue, -3.6, -7.0651200000000009E-06, 7.064940000000001E-06, -7.0651200000000009E-10, 7.06494E-10, 7.0651200000000009E-06, -11.860340556834025
DataValue, -3.59, -6.973620000000001E-06, 6.9738600000000009E-06, -6.9736200000000008E-10, 6.9738600000000008E-10, 6.973620000000001E-06, -11.873376099293997
DataValue, -3.58, -6.8843800000000008E-06, 6.8839200000000008E-06, -6.88438E-10, 6.8839200000000006E-10, 6.8843800000000008E-06, -11.886255480673624
DataValue, -3.5700000000000003, -6.7948500000000007E-06, 6.7951300000000008E-06, -6.79485E-10, 6.79513E-10, 6.7948500000000007E-06, -11.899345585660011
DataValue, -3.56, -6.7074100000000011E-06, 6.7072800000000004E-06, -6.7074100000000011E-10, 6.707279999999999E-10, 6.7074100000000011E-06, -11.91229767255253
DataValue, -3.5500000000000003, -6.6217600000000004E-06, 6.62183E-06, -6.6217599999999995E-10, 6.621829999999999E-10, 6.6217600000000004E-06, -11.925149362322948
DataValue, -3.54, -6.535630000000001E-06, 6.5361600000000008E-06, -6.53563E-10, 6.5361599999999993E-10, 6.535630000000001E-06, -11.938241811556077
DataValue, -3.5300000000000002, -6.4508700000000008E-06, 6.4512700000000008E-06, -6.45087E-10, 6.451270000000001E-10, 6.4508700000000008E-06, -11.951295552531654
DataValue, -3.52, -6.3671900000000008E-06, 6.3673200000000006E-06, -6.36719E-10, 6.3673199999999995E-10, 6.3671900000000008E-06, -11.964352316005069
DataValue, -3.5100000000000002, -6.2843900000000005E-06, 6.2841900000000009E-06, -6.28439E-10, 6.28419E-10, 6.2843900000000005E-06, -11.97744177711604
DataValue, -3.5, -6.2033500000000005E-06, 6.2038100000000005E-06, -6.20335E-10, 6.20381E-10, 6.2033500000000005E-06, -11.990421089254268
DataValue, -3.49, -6.1221100000000009E-06, 6.12181E-06, -6.12211E-10, 6.12181E-10, 6.1221100000000009E-06, -12.003603749618156
DataValue, -3.48, -6.04169E-06, 6.0418400000000006E-06, -6.04169E-10, 6.0418399999999991E-10, 6.04169E-06, -12.016826783830137
DataValue, -3.47, -5.9625000000000009E-06, 5.96214E-06, -5.9625E-10, 5.9621399999999988E-10, 5.9625000000000009E-06, -12.030020701749814
DataValue, -3.46, -5.8854900000000008E-06, 5.885250000000001E-06, -5.8854900000000009E-10, 5.885250000000001E-10, 5.8854900000000008E-06, -12.043020558186306
DataValue, -3.45, -5.8075500000000008E-06, 5.8076800000000006E-06, -5.80755E-10, 5.80768E-10, 5.8075500000000008E-06, -12.0563517627823
DataValue, -3.44, -5.73068E-06, 5.73086E-06, -5.73068E-10, 5.73086E-10, 5.73068E-06, -12.069676360631316
DataValue, -3.43, -5.6550000000000009E-06, 5.65452E-06, -5.655E-10, 5.65452E-10, 5.6550000000000009E-06, -12.082970448396191
DataValue, -3.42, -5.5796700000000006E-06, 5.5795900000000009E-06, -5.57967E-10, 5.579590000000001E-10, 5.5796700000000006E-06, -12.096380923104826
DataValue, -3.41, -5.5071100000000009E-06, 5.5075E-06, -5.50711E-10, 5.5075E-10, 5.5071100000000009E-06, -12.109470573305609
DataValue, -3.4, -5.4329200000000007E-06, 5.4336600000000008E-06, -5.43292E-10, 5.43366E-10, 5.4329200000000007E-06, -12.123033815333043
DataValue, -3.39, -5.36098E-06, 5.3607100000000009E-06, -5.3609799999999992E-10, 5.36071E-10, 5.36098E-06, -12.1363637637731
DataValue, -3.38, -5.2891100000000006E-06, 5.2886500000000006E-06, -5.289110000000001E-10, 5.28865E-10, 5.2891100000000006E-06, -12.149860568214306
DataValue, -3.37, -5.21809E-06, 5.21855E-06, -5.21809E-10, 5.2185500000000006E-10, 5.21809E-06, -12.163379123410747
DataValue, -3.36, -5.1497100000000007E-06, 5.1490900000000005E-06, -5.14971E-10, 5.14909E-10, 5.1497100000000007E-06, -12.176570155553748
DataValue, -3.35, -5.0803E-06, 5.08076E-06, -5.0803E-10, 5.0807599999999993E-10, 5.0803E-06, -12.190140242999458
DataValue, -3.34, -5.0115E-06, 5.0117000000000007E-06, -5.0115E-10, 5.0117E-10, 5.0115E-06, -12.20377528648149
DataValue, -3.33, -4.94419E-06, 4.9437600000000006E-06, -4.9441899999999992E-10, 4.9437600000000007E-10, 4.94419E-06, -12.217297408126603
DataValue, -3.3200000000000003, -4.8766100000000007E-06, 4.87635E-06, -4.8766100000000006E-10, 4.8763499999999994E-10, 4.8766100000000007E-06, -12.231060251626852
DataValue, -3.31, -4.81156E-06, 4.81219E-06, -4.81156E-10, 4.81219E-10, 4.81156E-06, -12.244489202104045
DataValue, -3.3000000000000003, -4.7466500000000005E-06, 4.7461800000000007E-06, -4.74665E-10, 4.74618E-10, 4.7466500000000005E-06, -12.258071451890674
DataValue, -3.29, -4.6816300000000006E-06, 4.68153E-06, -4.68163E-10, 4.68153E-10, 4.6816300000000006E-06, -12.271864218075519
DataValue, -3.2800000000000002, -4.61826E-06, 4.61883E-06, -4.6182599999999996E-10, 4.61883E-10, 4.61826E-06, -12.285492547187646
DataValue, -3.27, -4.5564700000000008E-06, 4.5565400000000006E-06, -4.5564700000000005E-10, 4.5565400000000006E-10, 4.5564700000000008E-06, -12.298962357032782
DataValue, -3.2600000000000002, -4.4945100000000006E-06, 4.49437E-06, -4.49451E-10, 4.4943699999999992E-10, 4.4945100000000006E-06, -12.312653905993837
DataValue, -3.25, -4.43279E-06, 4.4332200000000007E-06, -4.43279E-10, 4.43322E-10, 4.43279E-06, -12.326481375306301
DataValue, -3.24, -4.37237E-06, 4.37226E-06, -4.37237E-10, 4.37226E-10, 4.37237E-06, -12.340205361770652
DataValue, -3.23, -4.3122200000000005E-06, 4.3123300000000006E-06, -4.31222E-10, 4.31233E-10, 4.3122200000000005E-06, -12.354057705250911
DataValue, -3.22, -4.25399E-06, 4.2544900000000007E-06, -4.2539900000000004E-10, 4.25449E-10, 4.25399E-06, -12.367653191917718
DataValue, -3.21, -4.1956E-06, 4.19536E-06, -4.1956E-10, 4.19536E-10, 4.1956E-06, -12.381474200858962
DataValue, -3.2, -4.1375700000000004E-06, 4.13793E-06, -4.13757E-10, 4.13793E-10, 4.1375700000000004E-06, -12.395401898975205
DataValue, -3.19, -4.0805E-06, 4.08074E-06, -4.0805E-10, 4.08074E-10, 4.0805E-06, -12.409291028037114
DataValue, -3.18, -4.02437E-06, 4.0244600000000008E-06, -4.02437E-10, 4.02446E-10, 4.02437E-06, -12.423142181083684
DataValue, -3.17, -3.96958E-06, 3.96959E-06, -3.9695800000000003E-10, 3.9695899999999993E-10, 3.96958E-06, -12.436850262312579
DataValue, -3.16, -3.91439E-06, 3.91446E-06, -3.9143900000000004E-10, 3.9144599999999994E-10, 3.91439E-06, -12.450851051644698
DataValue, -3.15, -3.86006E-06, 3.85995E-06, -3.8600599999999996E-10, 3.85995E-10, 3.86006E-06, -12.464827830566891
DataValue, -3.14, -3.8064700000000003E-06, 3.8058800000000006E-06, -3.80647E-10, 3.80588E-10, 3.8064700000000003E-06, -12.478808307486947
DataValue, -3.13, -3.7533800000000002E-06, 3.7538400000000002E-06, -3.7533799999999995E-10, 3.7538399999999993E-10, 3.7533800000000002E-06, -12.492853790605594
DataValue, -3.12, -3.7022500000000004E-06, 3.7024300000000003E-06, -3.70225E-10, 3.70243E-10, 3.7022500000000004E-06, -12.506569815028799
DataValue, -3.11, -3.6506100000000005E-06, 3.6505000000000005E-06, -3.6506100000000004E-10, 3.6505E-10, 3.6506100000000005E-06, -12.520616281045744
DataValue, -3.1, -3.5993600000000004E-06, 3.5993500000000005E-06, -3.5993599999999997E-10, 3.59935E-10, 3.5993600000000004E-06, -12.53475450608433
DataValue, -3.09, -3.5488700000000005E-06, 3.5492200000000004E-06, -3.5488700000000003E-10, 3.54922E-10, 3.5488700000000005E-06, -12.54888131500744
DataValue, -3.08, -3.4996000000000003E-06, 3.4992900000000003E-06, -3.4995999999999995E-10, 3.49929E-10, 3.4996000000000003E-06, -12.562861881714301
DataValue, -3.0700000000000003, -3.45102E-06, 3.4511300000000003E-06, -3.45102E-10, 3.45113E-10, 3.45102E-06, -12.576840718443584
DataValue, -3.06, -3.40255E-06, 3.4024800000000003E-06, -3.40255E-10, 3.4024799999999997E-10, 3.40255E-06, -12.590985407451612
DataValue, -3.0500000000000003, -3.3544000000000004E-06, 3.3544300000000004E-06, -3.3544000000000003E-10, 3.3544300000000006E-10, 3.3544000000000004E-06, -12.605237641089857
DataValue, -3.04, -3.3074200000000004E-06, 3.3075600000000005E-06, -3.30742E-10, 3.30756E-10, 3.3074200000000004E-06, -12.619342128702581
DataValue, -3.0300000000000002, -3.26063E-06, 3.26057E-06, -3.26063E-10, 3.2605700000000004E-10, 3.26063E-06, -12.633590129722588
DataValue, -3.02, -3.21477E-06, 3.21471E-06, -3.21477E-10, 3.2147099999999993E-10, 3.21477E-06, -12.647754742491628
DataValue, -3.0100000000000002, -3.1691000000000003E-06, 3.16945E-06, -3.1691E-10, 3.16945E-10, 3.1691000000000003E-06, -12.662062922057558
DataValue, -3, -3.1253500000000005E-06, 3.1255000000000004E-06, -3.12535E-10, 3.1255E-10, 3.1253500000000005E-06, -12.67596428104744
DataValue, -2.99, -3.0812400000000005E-06, 3.0808000000000002E-06, -3.08124E-10, 3.0808E-10, 3.0812400000000005E-06, -12.690178444596782
DataValue, -2.98, -3.0375700000000004E-06, 3.0375700000000004E-06, -3.03757E-10, 3.03757E-10, 3.0375700000000004E-06, -12.704452704295656
DataValue, -2.97, -2.9943500000000004E-06, 2.9941000000000003E-06, -2.99435E-10, 2.9941E-10, 2.9943500000000004E-06, -12.718783378331562
DataValue, -2.96, -2.9514700000000005E-06, 2.9516400000000005E-06, -2.9514700000000004E-10, 2.9516400000000003E-10, 2.9514700000000005E-06, -12.73320720664055
DataValue, -2.95, -2.9096900000000004E-06, 2.9095700000000005E-06, -2.9096899999999997E-10, 2.9095699999999997E-10, 2.9096900000000004E-06, -12.747464011665134
DataValue, -2.94, -2.8688600000000003E-06, 2.86879E-06, -2.86886E-10, 2.8687899999999994E-10, 2.8688600000000003E-06, -12.761595819646097
DataValue, -2.93, -2.8276300000000002E-06, 2.82772E-06, -2.82763E-10, 2.8277199999999996E-10, 2.8276300000000002E-06, -12.776071653001552
DataValue, -2.92, -2.7873100000000003E-06, 2.7872E-06, -2.78731E-10, 2.7871999999999994E-10, 2.7873100000000003E-06, -12.79043358493611
DataValue, -2.91, -2.7474800000000002E-06, 2.74746E-06, -2.74748E-10, 2.7474599999999997E-10, 2.7474800000000002E-06, -12.804826430039988
DataValue, -2.9, -2.7080400000000004E-06, 2.7084E-06, -2.70804E-10, 2.7083999999999997E-10, 2.7080400000000004E-06, -12.819285431974592
DataValue, -2.89, -2.66921E-06, 2.66912E-06, -2.66921E-10, 2.66912E-10, 2.66921E-06, -12.833728009483096
DataValue, -2.88, -2.6309600000000005E-06, 2.63055E-06, -2.63096E-10, 2.6305499999999993E-10, 2.6309600000000005E-06, -12.848161759366427
DataValue, -2.87, -2.5936700000000003E-06, 2.59371E-06, -2.59367E-10, 2.5937099999999996E-10, 2.5936700000000003E-06, -12.862436696816562
DataValue, -2.86, -2.55655E-06, 2.5563700000000002E-06, -2.55655E-10, 2.55637E-10, 2.55655E-06, -12.876851864628174
DataValue, -2.85, -2.51939E-06, 2.52008E-06, -2.5193899999999995E-10, 2.5200799999999997E-10, 2.51939E-06, -12.891493749235101
DataValue, -2.84, -2.48372E-06, 2.4838500000000004E-06, -2.4837199999999996E-10, 2.48385E-10, 2.48372E-06, -12.905753121663647
DataValue, -2.83, -2.4478E-06, 2.4474700000000003E-06, -2.4477999999999996E-10, 2.4474700000000003E-10, 2.4478E-06, -12.920320895998174
DataValue, -2.82, -2.4124300000000004E-06, 2.4124000000000004E-06, -2.41243E-10, 2.4124E-10, 2.4124300000000004E-06, -12.934876019698271
DataValue, -2.81, -2.37802E-06, 2.37784E-06, -2.3780199999999996E-10, 2.3778399999999996E-10, 2.37802E-06, -12.94924234930212
DataValue, -2.8000000000000003, -2.3436000000000003E-06, 2.34358E-06, -2.3436E-10, 2.34358E-10, 2.3436000000000003E-06, -12.963822349275777
DataValue, -2.79, -2.3095400000000003E-06, 2.3096900000000002E-06, -2.30954E-10, 2.30969E-10, 2.3095400000000003E-06, -12.978462187459554
DataValue, -2.7800000000000002, -2.2759E-06, 2.2759100000000004E-06, -2.2758999999999999E-10, 2.2759100000000002E-10, 2.2759E-06, -12.993134979396544
DataValue, -2.77, -2.2431200000000003E-06, 2.2431E-06, -2.2431200000000002E-10, 2.2430999999999997E-10, 2.2431200000000003E-06, -13.007642804080181
DataValue, -2.7600000000000002, -2.2106400000000003E-06, 2.21034E-06, -2.21064E-10, 2.2103399999999997E-10, 2.2106400000000003E-06, -13.022228491598321
DataValue, -2.75, -2.1782200000000003E-06, 2.17817E-06, -2.17822E-10, 2.17817E-10, 2.1782200000000003E-06, -13.037002528453671
DataValue, -2.74, -2.1473800000000003E-06, 2.1474600000000004E-06, -2.1473799999999998E-10, 2.1474600000000003E-10, 2.1473800000000003E-06, -13.051262063578273
DataValue, -2.73, -2.11594E-06, 2.11612E-06, -2.11594E-10, 2.1161199999999997E-10, 2.11594E-06, -13.066011399757766
DataValue, -2.72, -2.08531E-06, 2.0852100000000002E-06, -2.0853099999999999E-10, 2.08521E-10, 2.08531E-06, -13.080593032710286
DataValue, -2.71, -2.05498E-06, 2.05495E-06, -2.05498E-10, 2.05495E-10, 2.05498E-06, -13.095244442423534
DataValue, -2.7, -2.0250400000000004E-06, 2.02471E-06, -2.02504E-10, 2.02471E-10, 2.0250400000000004E-06, -13.109921104514442
DataValue, -2.69, -1.9954700000000002E-06, 1.9955200000000003E-06, -1.9954700000000002E-10, 1.9955200000000002E-10, 1.9954700000000002E-06, -13.12463094639674
DataValue, -2.68, -1.9667500000000003E-06, 1.96687E-06, -1.96675E-10, 1.96687E-10, 1.9667500000000003E-06, -13.139128123737059
DataValue, -2.67, -1.9380900000000003E-06, 1.93836E-06, -1.9380900000000002E-10, 1.9383600000000002E-10, 1.9380900000000003E-06, -13.153807605945502
DataValue, -2.66, -1.9097E-06, 1.9099100000000004E-06, -1.9097E-10, 1.9099100000000004E-10, 1.9097E-06, -13.168564396305042
DataValue, -2.65, -1.8820700000000002E-06, 1.8821400000000002E-06, -1.88207E-10, 1.88214E-10, 1.8820700000000002E-06, -13.18313832301882
DataValue, -2.64, -1.8542600000000001E-06, 1.8544900000000001E-06, -1.85426E-10, 1.8544899999999998E-10, 1.8542600000000001E-06, -13.198024863328241
DataValue, -2.63, -1.8269300000000002E-06, 1.8271800000000001E-06, -1.8269300000000002E-10, 1.8271800000000003E-10, 1.8269300000000002E-06, -13.212873595478657
DataValue, -2.62, -1.8003700000000002E-06, 1.8005500000000003E-06, -1.80037E-10, 1.80055E-10, 1.8003700000000002E-06, -13.227518358630247
DataValue, -2.61, -1.7747100000000002E-06, 1.7743200000000002E-06, -1.77471E-10, 1.77432E-10, 1.7747100000000002E-06, -13.241873528666597
DataValue, -2.6, -1.7483300000000003E-06, 1.7486500000000002E-06, -1.74833E-10, 1.74865E-10, 1.7483300000000003E-06, -13.256849511363633
DataValue, -2.59, -1.7227800000000001E-06, 1.7227300000000002E-06, -1.72278E-10, 1.72273E-10, 1.7227800000000001E-06, -13.271571292842431
DataValue, -2.58, -1.6974200000000002E-06, 1.6972700000000003E-06, -1.6974200000000002E-10, 1.69727E-10, 1.6974200000000002E-06, -13.286401106753727
DataValue, -2.57, -1.6724400000000001E-06, 1.6725700000000001E-06, -1.67244E-10, 1.6725699999999997E-10, 1.6724400000000001E-06, -13.301226920026993
DataValue, -2.56, -1.64802E-06, 1.6482100000000002E-06, -1.6480199999999998E-10, 1.6482100000000001E-10, 1.64802E-06, -13.315935990628304
DataValue, -2.5500000000000003, -1.6241600000000002E-06, 1.6243100000000001E-06, -1.6241599999999999E-10, 1.6243099999999998E-10, 1.6241600000000002E-06, -13.33051979891029
DataValue, -2.54, -1.6004900000000001E-06, 1.6002400000000002E-06, -1.6004899999999997E-10, 1.60024E-10, 1.6004900000000001E-06, -13.345200725603498
DataValue, -2.5300000000000002, -1.57683E-06, 1.5766900000000002E-06, -1.57683E-10, 1.5766899999999998E-10, 1.57683E-06, -13.3600940554137
DataValue, -2.52, -1.5537500000000002E-06, 1.5538800000000002E-06, -1.55375E-10, 1.55388E-10, 1.5537500000000002E-06, -13.37483919412149
DataValue, -2.5100000000000002, -1.5309300000000002E-06, 1.53084E-06, -1.53093E-10, 1.53084E-10, 1.5309300000000002E-06, -13.389635164084488
DataValue, -2.5, -1.50808E-06, 1.5082000000000002E-06, -1.5080799999999998E-10, 1.5082000000000003E-10, 1.50808E-06, -13.404673239387755
DataValue, -2.49, -1.4861100000000001E-06, 1.4861500000000002E-06, -1.4861099999999997E-10, 1.48615E-10, 1.4861100000000001E-06, -13.419348590182255
DataValue, -2.48, -1.4644100000000002E-06, 1.46485E-06, -1.46441E-10, 1.4648499999999999E-10, 1.4644100000000002E-06, -13.434058126988328
DataValue, -2.47, -1.4430600000000002E-06, 1.4430200000000001E-06, -1.44306E-10, 1.44302E-10, 1.4430600000000002E-06, -13.448744698995386
DataValue, -2.46, -1.42167E-06, 1.4217E-06, -1.4216699999999999E-10, 1.4216999999999999E-10, 1.42167E-06, -13.463678321025604
DataValue, -2.45, -1.40068E-06, 1.4006400000000002E-06, -1.4006799999999997E-10, 1.4006400000000001E-10, 1.40068E-06, -13.478552724978348
DataValue, -2.44, -1.3797700000000001E-06, 1.37992E-06, -1.37977E-10, 1.37992E-10, 1.3797700000000001E-06, -13.49359373935226
DataValue, -2.43, -1.3594200000000002E-06, 1.3595200000000002E-06, -1.3594200000000002E-10, 1.35952E-10, 1.3594200000000002E-06, -13.508452419768993
DataValue, -2.42, -1.33973E-06, 1.3394600000000002E-06, -1.3397299999999998E-10, 1.33946E-10, 1.33973E-06, -13.523042456841116
DataValue, -2.41, -1.3200800000000002E-06, 1.3201400000000001E-06, -1.32008E-10, 1.32014E-10, 1.3200800000000002E-06, -13.537818217141862
DataValue, -2.4, -1.3006700000000001E-06, 1.30059E-06, -1.30067E-10, 1.30059E-10, 1.3006700000000001E-06, -13.552631041646434
DataValue, -2.39, -1.2815000000000001E-06, 1.28136E-06, -1.2815E-10, 1.28136E-10, 1.2815000000000001E-06, -13.567479291142286
DataValue, -2.38, -1.26245E-06, 1.2622300000000002E-06, -1.2624499999999999E-10, 1.26223E-10, 1.26245E-06, -13.58245628054155
DataValue, -2.37, -1.2437500000000002E-06, 1.2435900000000002E-06, -1.24375E-10, 1.2435900000000002E-10, 1.2437500000000002E-06, -13.597379548473608
DataValue, -2.36, -1.22538E-06, 1.22529E-06, -1.22538E-10, 1.22529E-10, 1.22538E-06, -13.61225955798929
DataValue, -2.35, -1.2075800000000002E-06, 1.2076400000000001E-06, -1.2075800000000001E-10, 1.2076400000000001E-10, 1.2075800000000002E-06, -13.626892201026298
DataValue, -2.34, -1.1897300000000002E-06, 1.1898800000000001E-06, -1.18973E-10, 1.18988E-10, 1.1897300000000002E-06, -13.64178416734074
DataValue, -2.33, -1.17234E-06, 1.1722300000000002E-06, -1.17234E-10, 1.17223E-10, 1.17234E-06, -13.656508806491937
DataValue, -2.32, -1.15501E-06, 1.1550300000000002E-06, -1.1550099999999999E-10, 1.15503E-10, 1.15501E-06, -13.67140155601934
DataValue, -2.31, -1.13776E-06, 1.1375400000000002E-06, -1.13776E-10, 1.13754E-10, 1.13776E-06, -13.686449140811204
DataValue, -2.3000000000000003, -1.1212000000000002E-06, 1.1212000000000002E-06, -1.1212E-10, 1.1212E-10, 1.1212000000000002E-06, -13.701111017655778
DataValue, -2.29, -1.10455E-06, 1.10484E-06, -1.10455E-10, 1.10484E-10, 1.10455E-06, -13.716072545758218
DataValue, -2.2800000000000002, -1.0884500000000001E-06, 1.08844E-06, -1.08845E-10, 1.08844E-10, 1.0884500000000001E-06, -13.730755892099467
DataValue, -2.27, -1.0724700000000001E-06, 1.07246E-06, -1.0724699999999999E-10, 1.0724600000000001E-10, 1.0724700000000001E-06, -13.745546158563435
DataValue, -2.2600000000000002, -1.0563600000000001E-06, 1.05622E-06, -1.0563600000000001E-10, 1.05622E-10, 1.0563600000000001E-06, -13.760681521685596
DataValue, -2.25, -1.0411100000000001E-06, 1.0412800000000002E-06, -1.04111E-10, 1.0412800000000002E-10, 1.0411100000000001E-06, -13.775223106286591
DataValue, -2.24, -1.02565E-06, 1.0255000000000002E-06, -1.02565E-10, 1.0255000000000001E-10, 1.02565E-06, -13.790184000018265
DataValue, -2.23, -1.01043E-06, 1.0105400000000002E-06, -1.01043E-10, 1.01054E-10, 1.01043E-06, -13.805134575139503
DataValue, -2.22, -9.95429E-07, 9.9585000000000017E-07, -9.954289999999998E-11, 9.9585000000000024E-11, 9.95429E-07, -13.82009203692987
DataValue, -2.21, -9.80825E-07, 9.8099000000000016E-07, -9.8082499999999982E-11, 9.809900000000002E-11, 9.80825E-07, -13.834871782692902
DataValue, -2.2, -9.6648099999999988E-07, 9.6656000000000015E-07, -9.6648099999999973E-11, 9.665600000000001E-11, 9.6648099999999988E-07, -13.849604197053079
DataValue, -2.19, -9.5225299999999994E-07, 9.5247000000000011E-07, -9.5225299999999992E-11, 9.5247E-11, 9.5225299999999994E-07, -13.864435081159476
DataValue, -2.18, -9.38096E-07, 9.3809000000000011E-07, -9.3809599999999986E-11, 9.3809000000000014E-11, 9.38096E-07, -13.879413547761343
DataValue, -2.17, -9.24203E-07, 9.2457000000000013E-07, -9.2420299999999982E-11, 9.245700000000001E-11, 9.24203E-07, -13.894334092464876
DataValue, -2.16, -9.1097699999999994E-07, 9.1092000000000006E-07, -9.1097699999999991E-11, 9.1091999999999984E-11, 9.1097699999999994E-07, -13.908748186986502
DataValue, -2.15, -8.9736799999999994E-07, 8.9762000000000012E-07, -8.973679999999998E-11, 8.9762E-11, 8.9736799999999994E-07, -13.92379980260951
DataValue, -2.14, -8.84232E-07, 8.8437000000000008E-07, -8.8423199999999976E-11, 8.8437E-11, 8.84232E-07, -13.938546365302109
DataValue, -2.13, -8.71248E-07, 8.7129000000000007E-07, -8.71248E-11, 8.7129E-11, 8.71248E-07, -13.953339170426681
DataValue, -2.12, -8.58321E-07, 8.5847E-07, -8.5832099999999987E-11, 8.5847E-11, 8.58321E-07, -13.968287681551958
DataValue, -2.11, -8.45761E-07, 8.4586000000000008E-07, -8.4576099999999978E-11, 8.4586E-11, 8.45761E-07, -13.983029023162665
DataValue, -2.1, -8.33499E-07, 8.3363E-07, -8.3349900000000009E-11, 8.3362999999999984E-11, 8.33499E-07, -13.99763333451633
DataValue, -2.09, -8.21251E-07, 8.2138000000000007E-07, -8.21251E-11, 8.2138000000000009E-11, 8.21251E-07, -14.01243704949232
DataValue, -2.08, -8.09185E-07, 8.09255E-07, -8.091849999999999E-11, 8.0925499999999986E-11, 8.09185E-07, -14.027238268651125
DataValue, -2.07, -7.97217E-07, 7.97366E-07, -7.9721699999999983E-11, 7.9736599999999977E-11, 7.97217E-07, -14.042138924198911
DataValue, -2.06, -7.85708E-07, 7.85902E-07, -7.857079999999999E-11, 7.85902E-11, 7.85708E-07, -14.056680614813162
DataValue, -2.05, -7.74239E-07, 7.7413899999999994E-07, -7.7423899999999992E-11, 7.7413899999999984E-11, 7.74239E-07, -14.071385225491408
DataValue, -2.04, -7.6270499999999995E-07, 7.62902E-07, -7.6270499999999977E-11, 7.6290199999999988E-11, 7.6270499999999995E-07, -14.086394512140174
DataValue, -2.0300000000000002, -7.5159E-07, 7.51394E-07, -7.5158999999999993E-11, 7.5139399999999988E-11, 7.5159E-07, -14.101074874445054
DataValue, -2.02, -7.40579E-07, 7.40378E-07, -7.405789999999999E-11, 7.40378E-11, 7.40579E-07, -14.115833524256445
DataValue, -2.0100000000000002, -7.29683E-07, 7.29882E-07, -7.29683E-11, 7.2988199999999993E-11, 7.29683E-07, -14.130655643691664
DataValue, -2, -7.19057E-07, 7.19149E-07, -7.19057E-11, 7.19149E-11, 7.19057E-07, -14.145325205594306
DataValue, -1.99, -7.08577E-07, 7.0831E-07, -7.0857699999999992E-11, 7.0831E-11, 7.08577E-07, -14.160007103410438
DataValue, -1.98, -6.97935E-07, 6.98029E-07, -6.979349999999999E-11, 6.9802899999999988E-11, 6.97935E-07, -14.175139861729443
DataValue, -1.97, -6.88044E-07, 6.88371E-07, -6.8804399999999991E-11, 6.8837099999999985E-11, 6.88044E-07, -14.189413047569632
DataValue, -1.96, -6.77916E-07, 6.7791699999999994E-07, -6.77916E-11, 6.7791699999999992E-11, 6.77916E-07, -14.204242450486797
DataValue, -1.95, -6.67958E-07, 6.68047E-07, -6.67958E-11, 6.6804699999999991E-11, 6.67958E-07, -14.219040539637931
DataValue, -1.94, -6.58301E-07, 6.5809E-07, -6.58301E-11, 6.5809E-11, 6.58301E-07, -14.233603563409478
DataValue, -1.93, -6.48677E-07, 6.48329E-07, -6.48677E-11, 6.4832899999999991E-11, 6.48677E-07, -14.248330932882402
DataValue, -1.92, -6.39325E-07, 6.3965E-07, -6.3932499999999988E-11, 6.3964999999999983E-11, 6.39325E-07, -14.26285290466693
DataValue, -1.9100000000000001, -6.30034E-07, 6.29985E-07, -6.3003399999999987E-11, 6.29985E-11, 6.30034E-07, -14.2774920507631
